country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index,new_cases_reported,vaccination_indicator,cases_per_100k,cases_per_100k_7d
Brazil,2020-05-08,125218.0,10503.0,6722.2856,595.4074,49.941418,31.964245,8536.0,615.0,438.57144,40.588398,2.9243045,2.0853925,,,,,,,,,,,,,81.02,1.4253,,,,,11124.0,0.052,55.542873,1.8627188,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,4.9941416193917165,3.1964245323390137
Brazil,2020-05-09,135106.0,9888.0,7103.7144,642.42456,47.017113,33.777927,9146.0,610.0,463.57144,43.488926,2.9005296,2.2042668,,,,,,,,,,,,,81.02,1.4171,,,,,13434.0,0.063,55.162266,1.8667767,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,4.701711161815224,3.3777925513237372
Brazil,2020-05-10,145328.0,10222.0,7677.0,691.0298,48.60527,36.50388,9897.0,751.0,509.7143,47.059906,3.57098,2.4236746,,,,,,,,,,,,,81.02,1.4084,359273.0,,1.676,,15744.0,0.073,54.179527,1.9029984,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,4.860527052596604,3.650388004576808
Brazil,2020-05-11,155939.0,10611.0,8482.857,741.48474,50.454952,40.335705,10627.0,730.0,553.8571,50.531033,3.4711258,2.6335723,,,,,,,,,,,,,81.02,1.3999,,,,,18246.0,0.085,52.080406,1.9767914,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,5.045495260722223,4.03357039974266
Brazil,2020-05-12,162699.0,6760.0,8793.143,773.62836,32.143574,41.811104,11123.0,496.0,585.4286,52.889496,2.3584635,2.7836933,,,,,,,,,,,,,81.02,1.3933,,,,,17307.0,0.081,52.658485,1.9524587,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,3.2143575499464925,4.181110226422368
Brazil,2020-05-13,168331.0,5632.0,8650.143,800.4083,26.779972,41.13114,11519.0,396.0,599.7143,54.77246,1.8829669,2.8516216,,,,,,,,,,,,,81.02,1.3895,,,,,16368.0,0.076,54.518024,1.8641194,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,2.6779972960500955,4.113114201327347
Brazil,2020-05-14,177589.0,9258.0,8982.0,844.4298,44.021484,42.70911,12400.0,881.0,639.8571,58.96159,4.1891255,3.0424995,,,,,,,,,,,,,81.02,1.3863,430405.0,,2.008,,18686.0,0.087,51.469276,1.9554985,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,4.402148254053938,4.270911170653756
Brazil,2020-05-15,188974.0,11385.0,9108.0,898.5651,54.135296,43.30824,13149.0,749.0,659.0,62.52306,3.56147,3.1335232,,,,,,,,,,,,,81.02,1.3836,466209.0,35804.0,2.175,0.167,20959.0,0.098,49.04439,2.047837,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,5.4135296902575165,4.330823752206014
Brazil,2020-05-16,202918.0,13944.0,9687.429,964.86835,66.30325,46.0634,13993.0,844.0,692.4286,66.53625,4.013192,3.2924747,,,,,,,,,,,,,81.02,1.3776,,,,,23706.0,0.111,47.328144,2.1272607,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,6.63032569178312,4.606340113629998
Brazil,2020-05-17,218223.0,15305.0,10413.571,1037.6431,72.774765,49.516186,14817.0,824.0,702.8571,70.454346,3.9180927,3.3420625,,,,,,,,,,,,,81.02,1.3713,,,,,26452.0,0.123,45.986195,2.1971672,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,7.277476671883293,4.951618630670954
Brazil,2020-05-18,233142.0,14919.0,11029.0,1108.5825,70.93935,52.442528,15633.0,816.0,715.1429,74.3344,3.8800528,3.4004805,,,,,,,,,,,,,81.02,1.3663,583549.0,,2.723,,29499.0,0.138,44.68564,2.2719886,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,7.093934953794633,5.244252872538441
Brazil,2020-05-19,241080.0,7938.0,11197.286,1146.3274,37.744926,53.24272,16118.0,485.0,713.5714,76.64056,2.3061588,3.3930085,,,,,,,,,,,,,81.02,1.3589,,,,,31298.0,0.146,42.538425,2.3901176,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,3.7744926377921972,5.3242721708021135
Brazil,2020-05-20,254220.0,13140.0,12269.857,1208.8076,62.480263,58.342762,16792.0,674.0,753.2857,79.845406,3.2048476,3.5818486,,,,,,,,,,,,,81.02,1.3517,,,,,33097.0,0.154,40.284786,2.5051463,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,6.24802636187824,5.8342763230632775
Brazil,2020-05-21,271628.0,17408.0,13434.143,1291.5822,82.77446,63.878902,17971.0,1179.0,795.8571,85.45151,5.606106,3.7842743,,,,,,,,,,,,,81.02,1.3418,,,,,34895.0,0.163,38.917744,2.579018,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,8.277446187791202,6.387890313597171
Brazil,2020-05-22,291579.0,19951.0,14657.857,1386.4485,94.86634,69.697624,18859.0,888.0,815.7143,89.67392,4.2224107,3.8786943,,,,,,,,,,,,,81.02,1.3333,705048.0,,3.29,,34120.0,0.159,38.84681,2.5828178,,,,,,,,,,,,,,BRA,South America,210306411.0,25.161867141723633,33.50600051879883,74.87190246582031,15093.46484375,3.8155887126922607,8.800000190734863,,2.0899999141693115,,True,0.0,9.486634242453027,6.969762392482244
