country,wave_id,start_date,peak_date,end_date,duration_days,peak_height,growth_rate_per_day,decline_rate_per_day,days_since_previous_wave
United States,1,2020-03-28,2022-01-17,2023-02-23,1063,237.08772435784394,0.3540200943539722,0.5633030626262668,
United States,2,2023-02-25,2023-02-25,2023-04-07,42,11.175125334829257,0.0,0.09264410332256866,2.0
United States,3,2023-04-09,2023-04-16,2023-05-20,42,4.352504854497275,0.003495632668195446,0.013282876894396431,2.0
Brazil,1,2020-05-08,2021-06-25,2021-12-15,587,36.76900340835137,0.08128953723005412,0.19507535925178177,
Brazil,2,2022-01-01,2022-02-05,2022-10-07,280,90.11898358153238,2.476495389115157,0.3568605359729588,17.0
Brazil,3,2022-11-13,2022-12-22,2023-02-21,101,24.317579444322583,0.5205295238037035,0.33514498125928316,37.0
Brazil,4,2023-03-01,2023-03-03,2023-03-08,8,4.4924926230613105,0.6174664017120375,0.2560345832049518,8.0
Brazil,5,2023-03-13,2023-03-13,2023-03-26,14,4.075278251299447,0.0,0.004342172969642865,5.0
Brazil,6,2023-03-30,2023-03-30,2023-04-05,7,3.6671662445353195,0.0,0.0,4.0
Brazil,7,2023-04-09,2023-04-09,2023-04-15,7,4.115831325207268,0.0,0.0,4.0
Brazil,8,2023-04-23,2023-04-23,2023-04-29,7,3.3379866864828958,0.0,0.0,8.0
Japan,1,2021-01-01,2021-01-12,2021-01-29,29,5.142727928932159,0.17627353547483526,0.12093679028030081,
Japan,2,2021-04-17,2021-05-14,2021-05-29,43,5.179414351999567,0.07997191542777646,0.13652835201347518,78.0
Japan,3,2021-07-22,2021-08-26,2021-09-22,63,18.4601280782459,0.44055381762220547,0.5695856075685414,54.0
Japan,4,2022-01-09,2022-08-25,2023-05-13,490,182.27289294086307,0.7840056231791162,0.6848732208037186,109.0
Germany,1,2020-03-22,2020-04-05,2020-04-18,28,6.127553530768566,0.1657676412357529,0.11659930471604586,
Germany,2,2020-10-11,2020-12-20,2021-06-12,245,29.661558859438077,0.360281284562227,0.15027677358566371,176.0
Germany,3,2021-08-08,2022-03-27,2023-04-08,609,269.942458675698,1.1535615631295042,0.705819703403269,57.0
